2025-12-06 20:33:36 | INFO     | django.utils.autoreload | Watching for file changes with StatReloader
2025-12-06 20:33:36 | INFO     | django.server | "GET /api/api/dashboard-data/ HTTP/1.1" 200 2085
2025-12-06 20:33:37 | INFO     | django.server | "GET /api/api/dashboard-data/ HTTP/1.1" 200 2085
2025-12-06 20:33:38 | INFO     | django.server | "GET /api/api/dashboard-data/ HTTP/1.1" 200 2085
2025-12-06 20:33:39 | INFO     | django.server | "POST /api/iot-data/ HTTP/1.1" 201 56
2025-12-06 20:33:40 | INFO     | django.server | "GET /api/api/dashboard-data/ HTTP/1.1" 200 2085
2025-12-06 20:33:41 | INFO     | django.server | "GET /api/api/dashboard-data/ HTTP/1.1" 200 2085
2025-12-06 20:33:43 | INFO     | django.server | "GET /api/api/dashboard-data/ HTTP/1.1" 200 2085
2025-12-06 20:33:44 | INFO     | django.server | "POST /api/iot-data/ HTTP/1.1" 201 56
2025-12-06 20:33:44 | INFO     | django.server | "GET /api/api/dashboard-data/ HTTP/1.1" 200 2085
2025-12-06 20:33:46 | INFO     | django.server | "GET /api/api/dashboard-data/ HTTP/1.1" 200 2085
2025-12-06 20:33:47 | INFO     | django.server | "GET /api/api/dashboard-data/ HTTP/1.1" 200 2085
2025-12-06 20:33:49 | INFO     | django.server | "GET /api/api/dashboard-data/ HTTP/1.1" 200 2085
2025-12-06 20:33:49 | INFO     | django.server | "POST /api/iot-data/ HTTP/1.1" 201 56
2025-12-06 20:33:50 | INFO     | django.server | "GET /api/api/dashboard-data/ HTTP/1.1" 200 2085
2025-12-06 20:33:50 | INFO     | django.utils.autoreload | C:\Users\dridi\OneDrive\Desktop\horizon_connceté\nuit_info\nuit_info\settings.py changed, reloading.
2025-12-06 20:33:51 | INFO     | django.utils.autoreload | Watching for file changes with StatReloader
2025-12-06 20:33:52 | INFO     | django.server | "GET /api/api/dashboard-data/ HTTP/1.1" 200 2085
2025-12-06 20:33:53 | INFO     | django.server | "GET /api/api/dashboard-data/ HTTP/1.1" 200 2085
2025-12-06 20:33:54 | INFO     | django.server | "POST /api/iot-data/ HTTP/1.1" 201 56
2025-12-06 20:33:55 | INFO     | django.server | "GET /api/api/dashboard-data/ HTTP/1.1" 200 2085
2025-12-06 20:33:55 | INFO     | django.server | "HEAD /api/dashboard/ HTTP/1.1" 200 0
2025-12-06 20:33:56 | INFO     | django.server | "GET /api/api/dashboard-data/ HTTP/1.1" 200 2085
2025-12-06 20:33:58 | INFO     | django.server | "GET /api/api/dashboard-data/ HTTP/1.1" 200 2085
2025-12-06 20:33:59 | INFO     | django.server | "POST /api/iot-data/ HTTP/1.1" 201 56
2025-12-06 20:33:59 | INFO     | django.server | "GET /api/api/dashboard-data/ HTTP/1.1" 200 2085
2025-12-06 20:34:01 | INFO     | django.server | "GET /api/api/dashboard-data/ HTTP/1.1" 200 2085
2025-12-06 20:34:02 | INFO     | django.server | "GET /api/api/dashboard-data/ HTTP/1.1" 200 2085
2025-12-06 20:34:04 | INFO     | django.server | "GET /api/api/dashboard-data/ HTTP/1.1" 200 2085
2025-12-06 20:34:04 | INFO     | django.server | "POST /api/iot-data/ HTTP/1.1" 201 56
